"name","boat_type","length","double_cabins","wc"
"Sunsail 454/4/4 Prem Plus",,13.41,4,4
"Sunsail 47/3/3 Prem Plus",1,14.02,3,3
"Tena",1,13.85,4,2
"Tweety",1,14.20,3,2
"ALIYAH",2,14.98,6,6
"Zenith Forever",1,15.07,4,4
"Dolce",1,12.35,3,2
"Sunsail 47/3/3",1,14.02,3,3
"DENEB",1,14.95,3,3
"OPENOFFICE",1,14.27,4,2
"Sunsail 51/4/4 Prem",1,15.24,4,4
"Sunsail 47/4/4 Prem Plus",1,14.33,4,4
"Sunsail 484 Premier",,14.63,4,4
"BUTTERFLY",1,13.65,4,2
"Acharon",2,12.00,4,4
"SAHMERAN",1,13.34,3,2
"VIVALDI",1,15.88,3,3
"2001",1,14.15,4,2
"Clovis",1,26.00,4,4
"Dakiri 2",1,11.75,3,1
"2011",2,11.95,4,2
"Hellas Fos",1,15.40,5,3
"Alex & Co",1,20.00,3,4
"BYC BOA-VIDA",2,11.98,4,4
"Wombat",1,9.60,2,1
"RIGOLETTO",1,11.25,3,2
"RIOJA",4,13.15,2,1
"ROCHA III",4,13.50,3,2
"Sunsail 47/4/4",1,14.33,4,4
"Rioja I",1,16.75,5,4
"WHITE PEARL",1,11.99,3,2
"CRYNOline",1,14.06,4,2
"CURIE",2,18.12,6,6
"2000",4,9.75,1,1
"D375-1",1,11.10,3,1
"HERENUI",4,14.42,4,5
"ALLOVI",2,12.00,4,4
"Sunsail 47/4/4",1,14.33,4,4
"Hermes",2,11.00,4,2
"Opensea 3",1,14.15,4,3
"BRISNIK",1,13.95,3,2
"Sunsail 51/4/4",1,15.24,4,4
"Sunsail 484",,14.63,4,4
"Calando- NEW GENOA IN 2014",1,13.76,4,2
"SEVEN SATURDAYS",1,10.34,3,1
"Oceanus",2,13.61,4,4
"Orange 4 you",1,11.35,3,1
"Almost Free",1,15.40,4,3
"Alboran Ron Punch",2,13.86,4,4
"Dolphin Dance",1,13.75,3,2
"Laura",2,11.98,4,4
"Jas des Clans",1,13.10,4,2
"ath42i06",1,12.85,3,2
"ODYSEJ",1,11.29,3,1
"ROKO",4,10.85,1,1
"Bavaria 38",1,12.13,3,1
"Olliver",1,12.26,3,1
"Orange AS",1,11.00,3,1
"Chrysanthi II",1,14.27,4,3
"Alboran Mary-Anne",1,14.98,3,3
"Donata",2,13.96,4,4
"Sunsail 484 Premier",,14.63,4,4
"6 - CHARLOTTE",1,14.40,3,2
"ORANGE ODYSSEE",1,9.63,2,1
"WHY NOT",2,11.90,4,4
"Saida",1,13.21,3,2
"Sunsail 51/4/4",1,15.37,4,4
"Zejna",1,16.75,4,5
"LA VESTALE",1,16.75,4,4
"La Vida",1,16.03,4,4
"ROSES",1,11.80,3,2
"More Fun",1,16.70,6,3
"iStone",1,14.27,4,3
"Oreia",1,12.34,3,2
"Picasso",1,12.35,3,2
"Sailitalia 39",1,11.50,3,2
"Sajoma",1,15.40,5,3
"Jupiter Planet",1,15.50,3,3
"Lazy Beach (Gran Canaria)",2,15.84,5,5
"More Gray",1,16.70,6,3
"Aloha OE III",4,9.85,1,1
"Ama",2,11.89,3,2
"LILLA V",2,11.74,4,4
"ORESTEIA",1,12.35,3,2
"MS Katharina",4,13.50,3,2
"PAPILLON",1,10.28,3,1
"Alboran XXXIV Nini",1,13.86,4,2
"Roshanah",5,8.60,1,1
"STAVROS TOU NOTOU",1,14.51,4,2
"BAVA",4,8.00,2,1
"EASIR",2,11.98,4,4
"LE'A LE'A ELUA",2,13.96,3,3
"Alcazar",1,12.26,3,1
"Leon",2,11.73,4,4
"Salome",1,15.80,4,4
"Deia",2,11.98,4,4
"Amadi",1,14.27,4,3
"LEBIC",1,14.40,4,2
"Samba",1,13.65,4,2
"LED ZEPPELIN",1,15.43,5,3
"Peer",4,10.55,3,1
"Pegasus",2,11.60,4,2
"SARA",1,15.50,4,4
"H.I.T.",4,15.75,3,2
"Windy Night",1,11.40,3,1
"DA LUZ",1,14.20,3,2
"DON CARLOS",2,11.99,4,2
"Calobra",1,12.34,3,2
"Samira",2,11.55,4,2
"Legacy 35 4pm - 8pm",2,10.52,3,1
"Josephine",1,15.10,5,3
"Leros",1,12.00,3,2
"SAN",1,22.00,6,6
"JAM SESSION",1,14.06,2,4
"Butterfly",1,14.60,4,3
"Calameka",1,12.85,2,2
"Csimbi",4,23.50,4,3
"SCHUBERT",1,13.65,4,2
"Cuvee",1,16.75,4,4
"2 Fast 4 You",1,12.35,3,1
"JABUKA",1,9.96,2,1
"LASTOVO",1,14.60,4,3
"Mouette",1,9.60,2,1
"CURICA",1,14.27,4,3
"Calypso",1,16.23,4,4
"OKEIA",1,11.97,3,2
"Stray cat",2,12.00,4,4
"CAT WHISKERS",2,13.11,4,3
"Cynthia",1,10.61,2,1
"Kacamak",1,11.40,3,1
"Jacana",1,10.59,2,1
"Cuba libre 20",1,12.35,3,2
"OFFENBACH",1,12.76,3,2
"Vamp II",1,13.25,3,2
"Twister",1,11.20,3,1
"Saphira",1,15.38,4,3
"Las Vegas",1,13.85,4,2
"ALEXANDRA",1,12.15,3,2
"Cvita - BT",1,13.99,4,2
"Lenko",1,14.40,4,3
"1145 VD",4,8.10,2,1
"Starlight",2,13.47,4,4
"Sunsail 33i",1,10.06,2,1
"STRAWBERRY",1,15.80,5,5
"CALYPSO",2,13.10,4,4
"Orion",2,13.30,3,3
"Oups",2,13.96,6,4
"MH 8",1,14.40,4,2
"Frencis",4,7.50,2,1
"Rubia",1,14.15,4,4
"Steele The Wind",1,15.01,3,3
"LE SALON",1,15.62,4,4
"Galadriel",1,14.85,5,4
"Leucosia",1,13.10,3,2
"Amarone",1,14.27,4,3
"Rubycoon",1,11.99,3,2
"Christianna",1,15.50,2,5
"Sara",1,14.05,4,4
"Dorothy May",1,13.34,3,2
"Rum",1,11.50,3,1
"Olympia",4,10.80,3,1
"Carlotta",1,14.40,4,3
"LeVent",2,12.61,5,5
"Hiva OA",4,8.31,1,1
"Hrvoje II (ex Anđela)",4,17.91,4,3
"Ambiente V",1,13.50,3,2
"CAMARA  B",1,13.60,4,3
"LISA",1,9.99,2,1
"DESDEMONA",1,11.78,3,1
"Zephir",1,13.90,4,2
"Spirit",1,17.38,4,3
"Caol Ila",1,14.99,4,3
"ORCA.O",1,11.55,3,2
"ALINE",1,13.40,4,2
"OTTO MEZZO",2,15.24,4,5
"Saray",1,16.75,5,4
"Sunsail 32i/2/1",1,9.75,2,1
"PowerCat",4,13.13,4,4
"Split Kiss",1,13.34,4,2
"Moorings 514PC-Club",2,15.24,4,5
"AUDENIS",1,12.34,3,1
"Rosa",1,10.30,3,1
"AMETHYST",1,10.34,2,1
"1116 VD - SPLIT",4,10.60,2,1
"Allegro",1,12.35,3,2
"Holiday",4,16.70,4,4
"COSTA BAJA II",4,14.42,4,4
"Hypnose",1,12.38,3,2
"DogHouse",2,11.89,3,2
"Sabijac",4,15.90,3,2
"Capriccio",1,13.76,4,3
"Sunsail 404 - Prem Plus",2,12.19,4,2
"Mrs Boo",1,13.34,4,2
"SPRING  SONG (owner version)",1,13.34,3,2
"Safina",1,9.96,2,1
"Rea",1,14.40,4,3
"Mickey",1,13.45,3,2
"Julia",1,11.99,3,2
"Libra",1,10.85,2,1
"Lazy Beach",2,15.84,5,5
"Ottoni@sea",1,18.97,4,4
"SPYGLASS",2,13.96,4,4
"Absolut",1,15.57,4,3
"Capricorn",1,10.85,2,1
"Homer",1,15.60,3,3
"Caria",2,13.10,4,4
"HUAHINE",1,12.38,3,2
"EVAGEO",1,10.35,3,1
"Mrs. Robinson",1,16.70,6,3
"Spyros",1,10.30,2,1
"MARTIN V",2,13.94,4,5
"Apollo",2,13.61,6,4
"JURINIS",1,12.34,3,1
"Moorings 4800 - Club",2,14.63,4,4
"Sorglos",1,12.00,3,1
"Sunsail 36i/3/1",1,10.97,3,1
"JUMELLES",2,13.10,4,4
"Sun Odyssey 40",1,12.20,3,2
"Star Chaser",2,13.11,4,4
"One Love",2,13.66,4,4
"Shona",2,11.55,4,2
"OUR TIME",2,13.96,3,3
"STAR ISABELLA",1,15.40,5,3
"Sunsail 41/3/2 Premier",1,12.19,3,2
"Juventus",1,10.85,2,1
"Sun Odyssey 449",1,13.76,3,2
"ALHUHA",4,10.00,1,1
"FREGATA",1,12.99,3,2
"MY Camellia",4,34.00,2,6
"Sunsail 33i",1,10.06,2,1
"Oversea",1,12.90,3,2
"Sylvia",4,9.43,2,1
"Virtuoso R",1,13.50,4,2
"Carmen",1,13.00,4,2
"Anita",1,16.06,5,3
"Leo",1,10.85,2,1
"Carmola",1,10.96,3,1
"Maruzzella",1,9.66,2,1
"Dedrickson",2,14.98,4,4
"MH 35",1,14.27,4,3
"Sunsail 444 - Premier",2,13.41,4,4
"My Elfri II",2,12.00,4,4
"CARPE DIEM",2,11.74,4,4
"Ho'okipa",2,13.96,4,4
"Huschel II",1,12.38,3,2
"JUS CHILLIN",2,18.17,6,6
"Mymoon",1,12.17,3,2
"Nala",1,14.85,5,4
"Libra II",1,14.27,4,3
"BAVARIA 46 CRUISER SKI/2017",1,14.40,4,3
"""Pottoka""",1,12.93,3,2
"Vision",2,17.06,4,4
"Alfasyr",1,13.13,3,2
"Berlin",1,13.21,4,2
"Casablanca 23",1,12.35,3,2
"KAMET",1,12.34,3,2
"NAYA",1,13.65,4,2
"Summerlove",1,13.95,4,2
"VITA",1,9.99,3,1
"Amie",1,14.30,4,3
"Dali Cruising",1,12.35,3,2
"Hydra VII",2,13.96,4,4
"Gedo",,14.63,4,4
"Dream 4",1,12.35,3,2
"GABRIELA I",2,13.96,6,4
"Padi",1,9.60,2,1
"Nadejda",1,11.10,3,1
"DREAM 82",2,23.99,10,10
"Einar",1,14.19,3,2
"GIORGIASIN",2,13.60,4,4
"IKARIA",1,13.65,4,2
"Dream Maker",1,13.96,3,3
"Delta Kiss",1,11.75,3,1
"FTL Freestyle 37 4pm - 8pm",2,11.28,1,1
"DEEP BLUE 2",2,12.61,4,5
"Life of Reilly",1,12.17,3,2
"Moorings 514PC-Excl Plus",2,15.24,4,5
"DANI",1,11.99,3,1
"Anna Maria",1,14.27,4,3
"Antidoto",1,7.20,1,1
"BAVARIA 51 CRUISER LEF",1,15.60,5,3
"MI 2",1,0.00,2,1
"Nadin",2,11.98,4,4
"Ali",1,10.34,2,1
"CATAMARAN  NYX ONE 565 LUXURY",1,17.00,4,6
"Bajka",1,10.45,2,1
"BC34-1",1,9.99,3,1
"Sunsail 33i",1,10.06,2,1
"Beaujolais",1,13.76,3,2
"SIMBA",2,12.00,4,4
"Dubris",1,13.34,3,2
"Andromeda",2,12.00,4,2
"India",1,13.95,4,2
"Sunsail 34/2/1 Premier",,10.36,2,1
"ORCA.I",1,11.90,3,2
"PAGLIACCI",1,11.25,3,1
"Moorings 514PC-Crewed",2,15.24,4,5
"CATAVENTURE",2,15.84,5,6
"Sunsail 404 - Prem Plus",2,12.19,4,2
"Sunsail 404 - Prem Plus",2,12.19,4,2
"Duchess",1,16.16,4,4
"Sunsail 454/4/4 Prem Plus",,13.41,4,4
"Sunsail 454 - Premier",,13.41,4,4
"XENOPHANE",2,13.10,4,4
"Sunsail 384/4/2",2,11.58,4,2
"Sunsail 41/3/2",1,12.19,3,2
"Sunsail 384/4/2",2,11.58,4,2
"Small AS",1,10.65,2,1
"Bavaria 37 Cruiser",1,11.30,3,1
"Surprise",1,13.25,4,2
"SunTonic",4,14.58,2,2
"CILIA",2,13.00,4,4
"Cygnus",1,15.40,5,3
"Kaja",1,13.90,4,2
"DEBUSSY",1,11.67,3,1
"LILY",2,14.13,4,4
"KARAVAS",1,11.25,3,2
"Zeus",1,16.06,5,3
"KOS 55.1",1,16.78,4,4
"Sol Et Velo",1,12.50,3,2
"Someday",1,17.01,5,3
"SW 1",1,14.27,4,3
"Natasha",2,13.96,4,4
"TwoTess",1,16.06,5,3
"ALEXIA K",3,26.00,5,4
"Behemot",1,15.40,5,3
"Bela",1,11.40,3,1
"BELL",2,12.58,4,2
"Catharsis",2,11.50,4,2
"Dufour 560 Jenkins",1,17.15,3,3
"Catherine",2,11.74,4,4
"Moonlight",1,13.34,3,2
"Nauti By Nature",2,15.85,4,5
"ORPHEUS",1,11.20,3,1
"Sunsail 41/3/2",1,12.19,3,2
"Sunsail 41/3/2",1,12.19,3,2
"Sunsail 41/3/2",1,12.19,3,2
"Typhon",1,11.20,3,1
"Sunsail 41/3/2",1,12.19,3,2
"Lia",1,16.70,5,3
"NEFERTITI",2,11.55,4,2
"C",1,9.60,2,1
"SHIRAZ",1,12.16,3,2
"Sunsail 41/3/2 Premier",1,12.19,3,2
"ULYSSE",1,12.10,3,1
"Lianna",1,14.40,4,3
"Calvados",1,11.50,3,1
"Sunsail 41/3/2",1,12.19,3,2
"Sunsail 41/3/2",1,12.19,3,2
"WATTEAU",2,15.84,5,6
"Dafne",1,13.99,4,3
"Guaraná",1,12.00,3,2
"Matilda",1,14.27,3,2
"NEVERA",1,14.40,4,2
"O´Sen",2,11.89,4,2
"Scents of Paradise",1,16.20,3,4
"CAVOK",2,12.61,4,4
"Sunsail 444 - Premier",2,13.41,4,4
"Sunsail 444 - Premier",2,13.41,4,4
"LINA II",1,16.08,4,4
"BELLE AVENTURE",1,15.40,5,3
"Sunsail 41/3/2 Premier",1,12.19,3,2
"Caprice",1,13.52,3,2
"Kajsa",2,13.96,4,4
"Pr",1,9.60,2,1
"Sunsail 444",2,13.41,4,4
"Bosanova",2,14.30,6,4
"Gemini",2,11.90,4,2
"CATTARINA II",2,11.74,4,2
"Indigo",1,13.74,3,3
"YOTA",1,14.00,3,3
"Nevina",2,13.96,4,4
"Sunsail 444 - Premier",2,13.41,4,4
"Sunsail 444 - Premier",2,13.41,4,4
"**New",1,13.85,4,2
"FATA MORGANA",1,12.38,3,2
"Sunsail 444 - Premier",2,13.41,4,4
"LUCCA II",2,11.98,3,2
"Limoni",1,15.20,4,2
"PADINA PAVONIA",1,13.41,4,2
"Silver Arrow",1,11.40,3,1
"Sunsail 444",2,13.41,4,4
"Sunsail 44i/3/3",1,13.41,3,3
"BAVARIA 46 CRUISER LEF/2015",1,14.40,3,3
"Invictus",2,13.96,3,3
"NN",1,15.40,5,2
"Antares",1,12.20,3,2
"Cava",2,11.74,4,2
"BEBA",1,10.34,3,1
"Seacret",1,13.10,3,2
"Vixen",1,10.45,2,1
"Irina",2,13.96,4,4
"PAIN KILLER",1,14.51,3,2
"Sunsail 444 - Premier",2,13.41,4,4
"Sunsail 444 - Premier",2,13.41,4,4
"Sunsail 47/4/4 Prem",1,14.33,4,4
"Alkistis",1,13.85,4,2
"Bella",1,12.17,3,2
"Sunsail 444 - Premier",2,13.41,4,4
"Sunsail 444 - Premier",2,13.41,4,4
"IRIS",2,11.98,4,4
"Sea Wolf",1,13.09,3,1
"Jumbo",1,15.62,6,4
"PAKI NAFI",1,15.90,3,2
"Red Wine",1,11.50,3,1
"CLARAMARIA",4,22.00,3,3
"Sunsail 47/4/4",1,14.33,4,4
"Zodiac",,5.99,0,1
"Sunsail 444 - Premier",2,13.41,4,4
"Cecilia",1,11.30,3,1
"Uranos",1,15.38,5,3
"Starlight",2,17.07,5,5
"LITTLE BIRD",2,13.26,3,3
"Vosmoy",1,13.95,4,2
"GOLF CHARLIE",2,11.50,4,2
"Moorings 4800 - Exclusive",2,14.63,4,4
"Sunsail 384/4/2",2,11.58,4,2
"Chiara",4,13.80,2,2
"Ammos",2,13.96,4,4
"Isabelle",1,17.15,4,3
"Miro",1,12.35,3,2
"PAMFY",4,14.70,3,2
"Piedra Del Sol",2,12.00,4,2
"Nena",4,14.93,3,2
"LOLI",1,13.55,3,2
"CEO",6,29.00,6,6
"Cepheus",1,11.20,3,1
"EM",1,13.90,3,2
"Sunsail 47/4/4 Prem",1,14.33,4,4
"Chianalea",1,11.82,3,2
"Islay",1,14.27,4,3
"Whiskey",1,10.60,3,1
"Girl",1,13.76,4,2
"Golf",1,9.99,2,1
"Sunsail 53",1,16.15,5,4
"IST",1,11.20,3,1
"MS Luxor II",4,12.50,3,3
"Wagoo III",1,11.40,3,1
"NEW Bavaria 46",1,13.99,4,3
"STAR LILLI",1,12.35,3,2
"Amoneda",1,10.30,3,1
"Sunsail 51/4/4 Prem Plus",1,15.37,4,4
"Freedom",1,12.13,3,1
"KANT",2,11.55,4,2
"FRECKLED PARROT",2,13.26,3,3
"ALMA",1,10.45,2,1
"Amore SJ",4,15.80,5,4
"Bella Mia",4,13.82,3,1
"Sunsail 444 - Premier",2,13.41,4,4
"MS Star",4,12.50,3,3
"Con Iva",1,12.60,4,2
"STAR PHILIP",1,12.35,3,2
"INVICTUS",1,17.15,4,3
"DAY SEVEN",2,11.50,4,2
"Alnair",1,13.65,4,2
"New Horizons",1,11.80,3,2
"Pharos",1,11.20,3,1
"NN1 Air condition/ Generator/ Heating/Stern truster",1,15.20,4,3
"ROSSETI",4,12.00,2,1
"Sunsail 53",1,16.15,5,4
"Moorings 4800 - Club",2,14.63,4,4
"Salsa",1,11.48,3,1
"Lorena",2,13.96,4,4
"Moorings 4800 - Crewed",2,14.63,4,4
"Moorings 4800 - Excl Plus",2,14.63,4,4
"Sunsail 53",1,16.15,5,4
"ath44906",1,13.76,3,2
"STAR ROMEO",1,16.75,6,3
"Xanthi",1,11.40,3,1
"Altea",1,14.73,4,4
"Morska Lastavica",3,30.00,14,14
"Sunseeker Thunderhawk 43",4,13.43,1,1
"GIANT II",2,13.96,4,4
"LION",1,13.60,4,2
"MATIJA",2,13.96,6,4
"Eagle of Norway",2,17.01,5,5
"ath40904",1,12.34,3,2
"New Sweden",1,14.27,4,3
"Melli",4,12.70,3,2
"SUNSAIL STATEROOM",,12.19,0,0
"Daria",2,11.50,4,2
"Adriatic Expert",1,12.35,3,2
"Samui",1,11.82,3,2
"Classroom Management",2,13.96,3,3
"Lou Ann",4,12.90,2,2
"Moorings 514PC-Excl",2,15.24,4,5
"Moorings 514PC-Excl Plus",2,15.24,4,5
"Moorings 54.5 - Club",1,16.46,5,4
"Bende",1,12.99,3,2
"Bella",1,14.10,4,2
"Sea Horse",1,11.35,3,1
"Lorac",1,12.32,2,2
"LOUISE",1,11.23,3,2
"DAEDALUS",1,13.65,4,2
"Kassiopeia",2,14.30,6,4
"Claudia II",1,14.60,3,2
"5 - GIORGIONE",1,15.40,3,3
"SVRSATA",1,12.00,3,1
"Pamina",1,16.16,4,4
"ATLANTIS",1,15.39,5,5
"Clione",2,13.30,3,3
"Bella Ragazza",1,17.78,4,4
"Dar Mar",1,11.33,3,1
"Moorings 4800 - Excl Plus",2,14.63,4,4
"Moorings 514PC-Excl Plus",2,15.24,4,5
"Sunsail 44i/4/2",1,13.74,4,2
"NEW YORK",2,15.84,5,6
"Big Escobar",1,13.75,4,2
"Giorgis III",2,12.80,4,4
"Delphi",2,13.96,4,4
"P and B",1,14.90,4,2
"She - 06",1,14.40,4,2
"Shiraz",1,12.99,3,2
"Moorings 4800 - Crewed",2,14.63,4,4
"4 Rita",4,14.65,3,2
"Simply fast",1,13.55,4,2
"AITUTAKI",2,12.80,4,4
"CONTI",1,14.27,4,3
"Grazia",4,15.70,3,2
"Pangea",1,12.34,3,2
"Galaxy III",1,14.15,4,2
"Seamount",1,17.15,3,2
"Sunsail 36i/3/1",1,10.97,3,1
"LOUIS II SARDEGNA",4,12.66,2,2
"Andiamo",1,12.99,3,2
"FROZEN",1,13.85,4,2
"Moorings 48.4 - Excl",1,14.63,4,4
"KEA",1,12.38,3,2
"ECLIPSE",1,13.10,3,2
"Rodi",1,14.05,4,4
"AMORINA",1,15.38,4,3
"Anchor Management",2,15.85,5,5
"EDELEM",2,17.81,6,6
"VS/Linssen 30.9AC",4,9.35,2,1
"LOUMAC",4,7.49,1,1
"LOBEL I",1,16.75,4,4
"Camara B",1,14.27,4,3
"EL GOLFET",2,12.20,3,3
"MY GIRL",2,13.10,4,4
"FUSION",1,11.95,3,2
"DESCARTES",1,11.67,3,1
"Garbin - 15",1,14.40,4,3
"LOUMILIS",2,13.96,4,4
"ANGELIKI",1,14.20,4,2
"White Kiss",1,13.76,4,2
"WINDY",1,11.10,3,1
"Alexandra",1,15.40,5,3
"KLEIO",1,11.75,3,2
"My Nirvana",4,23.94,4,3
"Senka",4,10.90,2,2
"ANA",1,11.99,3,1
"Nestor",1,11.20,3,1
"PANIC",1,12.00,3,2
"Ana FB",1,12.35,3,2
"Sunsail 53",1,16.15,5,4
"Sunsail 443 - Premier",2,13.41,3,3
"Carmen",1,12.26,3,1
"Nikita",1,13.65,4,2
"Jacqueline",1,13.65,4,2
"MYOFFICE",1,12.35,3,2
"VS/Broom 35",4,10.69,2,1
"Sailaway",1,13.72,3,2
"SEA REX",1,16.75,4,4
"Yaelle",2,13.47,4,4
"CARDINCHA",1,12.35,3,2
"DIMANCHE",4,0.00,4,4
"DESIRE I",1,10.98,3,1
"Dufour 460 Grand Large “NewBoat”",1,14.14,4,4
"Jagoda",1,10.35,3,1
"Constellation",1,13.25,3,2
"TESERIS",1,10.66,3,1
"DARWIN",1,10.61,3,1
"Sea Señor ! Catamaran Bali",2,11.93,4,3
"THALASSAKI",2,11.60,4,2
"JAZZ BAND",1,11.20,3,1
"Gabriel II",1,14.15,4,2
"Juliana",1,12.35,3,2
"DAVID",2,15.84,5,6
"Greta",1,9.60,2,1
"THALES",1,13.34,3,2
"The Dreamer",1,16.78,4,3
"why not 11",2,11.97,4,4
"Jones",1,12.35,3,2
"Dida I",1,16.78,6,3
"WIND OF CHANGE",1,11.47,3,1
"Gabrijela",1,15.40,3,3
"SEA SHELL  (owner version)",1,16.79,3,3
"Jimmy Blue",2,11.98,4,4
"Sogliola",1,11.00,3,1
"WINDBORNE",2,15.82,5,5
"Galata",1,13.05,3,2
"Sunsail 454 - Premier",,13.41,4,4
"Griffin",1,13.95,4,2
"Brigadoon",1,13.21,4,2
"Gust",1,11.20,3,1
"Andante",1,12.35,3,2
"NIKO",4,8.00,1,1
"Julia",4,12.40,2,2
"Sunsail 47/3/3 Prem Plus",1,14.02,3,3
"Joinme",1,14.27,4,3
"CATANOO",2,11.74,4,4
"Katia",1,12.55,3,2
"NIL",2,15.70,4,4
"2010",1,10.94,3,1
"Sunsail 404 - Premier",2,12.19,4,2
"Dream Team",1,13.10,4,2
"SPINOZA",1,14.39,4,2
"Why Not",1,11.96,3,2
"SEBON",2,11.74,4,2
"ZARA",4,5.50,0,0
"ZARA",1,13.40,4,2
"Nina",4,8.30,2,1
"Santa Ponsa",1,13.65,4,4
"Moorings 4800 - Club",2,14.63,4,4
"NN",1,13.85,3,2
"SUN COURSE",1,11.20,3,1
"Sunseeker 35",4,10.70,1,1
"Sunsail 41/3/2 Premier",1,12.19,3,2
"Sunseeker 41",4,13.30,1,1
"Julia",2,13.96,4,4
"Victory",1,10.45,3,1
"Cool",4,18.19,3,2
"Derya Deniz",3,24.00,5,5
"Moorings 48.4 - Excl Plus",1,14.63,4,4
"Wild Wind",1,14.85,5,2
"Second Wind",1,16.16,3,3
"CAPRI",1,17.78,3,3
"Jumpin' Jack",1,11.40,3,1
"LUCA",1,14.27,4,3
"Yesss",2,11.74,4,4
"Lucia Rosa",1,14.63,4,4
"Alboran XII Pampero",1,14.00,4,2
"Selene",1,10.85,2,1
"Diamante 555",2,16.54,3,4
"Secret of Life",2,11.97,4,2
"Uranos II",1,20.10,4,4
"Django",1,14.40,4,3
"BRITANNIA",1,9.96,2,1
"Bella",4,12.70,3,2
"Hanse VARIANTA",1,13.18,4,2
"CS/EuroClassic 139GC",5,10.85,2,2
"ANDI STAR",1,24.00,5,5
"Dolkar",1,11.40,3,1
"Harry the Viking",1,13.34,4,2
"Ludmila",2,13.96,4,4
"SENEQUE",1,11.23,3,2
"EKSODOS",1,9.66,2,1
"Evita",1,11.90,3,2
"Hawaii",1,14.85,4,3
"Clara",2,13.96,4,4
"Cancellato - QUINN",1,15.40,5,3
"KIRIAKI",1,11.25,3,1
"Vagabund",1,14.15,4,2
"Hebareaux",1,11.75,2,1
"Vispera",1,12.90,3,2
"Luna",2,12.80,6,4
"Sofia",1,11.28,3,1
"SPELLBOUND",2,15.24,5,5
"VIVIANA",1,11.20,3,1
"SANT AMANZA",2,12.37,4,4
"Lycia",2,9.99,4,4
"MACHT SPASS",1,10.40,3,1
"ANDROMEDA",1,11.30,3,1
"Alboran Adara",2,11.60,4,2
"Madrid",1,9.96,2,1
"Xristina",1,11.00,3,1
"Moorings 48.4 - Excl Plus",1,14.63,4,4
"PARIS",1,14.40,3,2
"DEMOCRITE",2,11.74,4,2
"Zara",4,9.90,2,2
"Magikal",2,11.50,4,2
"BROUILLY",2,11.98,4,4
"Kira",4,10.55,2,2
"LEURYDICE",1,12.35,3,2
"Valhalla",1,13.95,3,2
"ANGELIC",1,11.20,3,1
"CORINNE",1,15.38,4,3
"COSTA BAJA I",4,14.42,4,4
"ZAGREB",2,11.55,4,2
"Turquise",1,15.62,5,4
"Senza Parole",4,17.45,4,4
"CRES",1,11.20,3,1
"Moorings 50.5 - Club",1,15.24,5,5
"Storm",1,12.00,3,2
"Moorings 514PC-Excl Plus",2,15.24,4,5
"ANGELICA",1,32.00,5,5
"STONCICA II",1,13.65,4,2
"Desperado",1,12.55,4,2
"Moorings 48 - Club",1,14.63,3,2
"NOCTILUCA",2,13.96,4,4
